#,Name,Total 1's,Total 2's,Total 3's,Total Votes,Weighted Total
1,Bulbasaur,48,26,23,97,219
2,Ivysaur,5,7,3,15,32
3,Venusaur,6,9,12,27,48
4,Charmander,17,7,3,27,68
5,Charmeleon,0,1,2,3,4
6,Charizard,64,33,27,124,285
7,Squirtle,20,15,7,42,97
8,Wartortle,7,2,7,16,32
9,Blastoise,23,15,15,53,114
10,Caterpie,0,4,0,4,8
11,Metapod,0,1,0,1,2
12,Butterfree,0,5,2,7,12
13,Weedle,1,0,0,1,3
14,Kakuna,0,0,0,0,0
15,Beedrill,2,3,4,9,16
16,Pidgey,0,0,0,0,0
17,Pidgeotto,0,1,1,2,3
18,Pidgeot,7,3,8,18,35
19,Rattata,3,0,0,3,9
20,Raticate,2,0,0,2,6
21,Spearow,0,0,1,1,1
22,Fearow,3,0,1,4,10
23,Ekans,0,2,0,2,4
24,Arbok,2,3,2,7,14
25,Pikachu,12,14,10,36,74
26,Raichu,24,15,7,46,109
27,Sandshrew,7,4,6,17,35
28,Sandslash,5,4,1,10,24
29,Nidoran ♀,0,0,0,0,0
30,Nidorina,0,1,1,2,3
31,Nidoqueen,1,2,1,4,8
32,Nidoran ♂,0,2,0,2,4
33,Nidorino,1,2,1,4,8
34,Nidoking,17,13,13,43,90
35,Clefairy,2,1,3,6,11
36,Clefable,6,3,5,14,29
37,Vulpix,22,11,6,39,94
38,Ninetales,23,16,14,53,115
39,Jigglypuff,5,1,4,10,21
40,Wigglytuff,4,4,0,8,20
41,Zubat,1,1,1,3,6
42,Golbat,2,1,0,3,8
43,Oddish,2,1,5,8,13
44,Gloom,2,2,0,4,10
45,Vileplume,5,2,3,10,22
46,Paras,1,2,1,4,8
47,Parasect,0,6,1,7,13
48,Venonat,2,4,0,6,14
49,Venomoth,0,1,0,1,2
50,Diglett,1,1,2,4,7
51,Dugtrio,0,0,0,0,0
52,Meowth,2,6,2,10,20
53,Persian,0,2,2,4,6
54,Psyduck,9,6,6,21,45
55,Golduck,1,2,2,5,9
56,Mankey,1,0,2,3,5
57,Primape,2,1,2,5,10
58,Growlithe,11,7,2,20,49
59,Arcanine,46,24,9,79,195
60,Poliwag,2,0,0,2,6
61,Poliwhirl,8,4,4,16,36
62,Poliwrath,6,3,1,10,25
63,Abra,1,0,1,2,4
64,Kadabra,3,1,0,4,11
65,Alakazam,9,15,10,34,67
66,Machop,0,0,1,1,1
67,Machoke,0,0,0,0,0
68,Machamp,1,8,5,14,24
69,Bellsprout,2,1,0,3,8
70,Weepinbell,1,0,0,1,3
71,Victreebell,0,0,1,1,1
72,Tentacool,0,0,1,1,1
73,Tentacruel,2,4,0,6,14
74,Geodude,1,1,0,2,5
75,Graveler,0,1,0,1,2
76,Golem,2,2,3,7,13
77,Ponyta,2,1,0,3,8
78,Rapidash,2,3,2,7,14
79,Slowpoke,10,3,1,14,37
80,Slowbro,6,9,4,19,40
81,Magnemite,3,1,3,7,14
82,Magneton,4,1,3,8,17
83,Farfetch'd,9,0,4,13,31
84,Doduo,1,0,0,1,3
85,Dodrio,0,1,0,1,2
86,Seel,1,0,2,3,5
87,Dewgong,3,1,3,7,14
88,Grimer,1,0,1,2,4
89,Muk,6,1,3,10,23
90,Shellder,0,0,1,1,1
91,Cloyster,4,4,1,9,21
92,Gastly,1,2,0,3,7
93,Haunter,9,5,10,24,47
94,Gengar,59,53,23,135,306
95,Onix,2,4,3,9,17
96,Drowzee,1,0,2,3,5
97,Hypno,1,1,1,3,6
98,Krabby,2,0,0,2,6
99,Kingler,3,1,3,7,14
100,Voltorb,0,1,0,1,2
101,Electrode,1,0,1,2,4
102,Exeggcute,1,0,0,1,3
103,Exeggutor,0,1,5,6,7
104,Cubone,18,6,7,31,73
105,Marowak,6,1,0,7,20
106,Hitmonlee,3,1,1,5,12
107,Hitmonchan,0,0,2,2,2
108,Lickitung,3,1,0,4,11
109,Koffing,3,2,1,6,14
110,Weezing,0,1,3,4,5
111,Rhyhorn,1,2,0,3,7
112,Chansey,1,2,0,3,7
113,Tangela,5,1,0,6,17
114,Kangaskhan,0,3,0,3,6
115,Horsea,2,1,1,4,9
116,Rhydon,1,4,2,7,13
117,Seadra,1,1,0,2,5
118,Goldeen,0,0,1,1,1
119,Seaking,0,0,0,0,0
120,Staryu,0,3,0,3,6
121,Starmie,13,3,4,20,49
122,Mr. Mime,1,0,0,1,3
123,Scyther,6,20,6,32,64
124,Jynx,2,2,1,5,11
125,Electabuzz,4,0,1,5,13
126,Magmar,1,1,0,2,5
127,Pinsir,0,0,1,1,1
128,Tauros,1,2,2,5,9
129,Magikarp,3,2,3,8,16
130,Gyarados,8,9,9,26,51
131,Lapras,20,14,16,50,104
132,Ditto,12,10,6,28,62
133,Eevee,31,18,17,66,146
134,Vaporeon,14,13,5,32,73
135,Jolteon,23,15,13,51,112
136,Flareon,7,7,3,17,38
137,Porygon,8,7,6,21,44
138,Omanyte,1,0,0,1,3
139,Omastar,0,4,2,6,10
140,Kabuto,0,1,2,3,4
141,Kabutops,4,6,8,18,32
142,Aerodactyl,5,3,3,11,24
143,Snorlax,29,23,12,64,145
144,Articuno,6,10,9,25,47
145,Zapdos,7,5,6,18,37
146,Moltres,0,1,2,3,4
147,Dratini,1,2,1,4,8
148,Dragonair,9,6,6,21,45
149,Dragonite,39,24,25,88,190
150,Mewtwo,15,19,20,54,103
151,Mew,20,21,14,55,116
152,Chikorita,4,8,1,13,29
153,Bayleef,3,3,4,10,19
154,Meganium,8,5,2,15,36
155,Cyndaquil,22,19,14,55,118
156,Quilava,7,5,5,17,36
157,Typhlosion,35,29,14,78,177
158,Totodile,14,9,12,35,72
159,Croconaw,1,0,2,3,5
160,Feraligatr,14,8,9,31,67
161,Sentret,1,0,0,1,3
162,Furret,6,9,5,20,41
163,Hoothoot,2,0,0,2,6
164,Noctowl,1,2,1,4,8
165,Ledyba,0,0,0,0,0
166,Ledian,2,1,2,5,10
167,Spinarak,1,0,2,3,5
168,Ariados,4,1,1,6,15
169,Crobat,15,18,17,50,98
170,Chinchou,2,0,0,2,6
171,Lanturn,7,1,6,14,29
172,Pichu,2,1,5,8,13
173,Cleffa,0,0,1,1,1
174,Igglybuff,0,1,0,1,2
175,Togepi,3,1,4,8,15
176,Togetic,0,0,0,0,0
177,Natu,1,0,1,2,4
178,Xatu,2,0,1,3,7
179,Mareep,10,5,6,21,46
180,Flaaffy,2,6,1,9,19
181,Ampharos,34,23,19,76,167
182,Bellossom,0,2,3,5,7
183,Marill,3,3,1,7,16
184,Azumarill,12,13,9,34,71
185,Sudowoodo,6,0,1,7,19
186,Politoed,5,3,6,14,27
187,Hoppip,0,0,0,0,0
188,Skiploom,0,0,0,0,0
189,Jumpluff,3,1,4,8,15
190,Aipom,7,1,2,10,25
191,Sunkern,1,1,0,2,5
192,Sunflora,2,1,0,3,8
193,Yanma,2,1,2,5,10
194,Wooper,9,9,8,26,53
195,Quagsire,8,8,12,28,52
196,Espeon,23,29,20,72,147
197,Umbreon,43,54,34,131,271
198,Murkrow,3,5,4,12,23
199,Slowking,2,3,3,8,15
200,Misdreavus,6,6,2,14,32
201,Unown,3,0,0,3,9
202,Wobbuffet,9,1,2,12,31
203,Girafarig,6,1,5,12,25
204,Pineco,0,0,1,1,1
205,Forretress,2,5,0,7,16
206,Dunsparce,7,8,8,23,45
207,Gligar,4,1,2,7,16
208,Steelix,5,10,9,24,44
209,Snubbull,1,2,0,3,7
210,Granbull,0,0,0,0,0
211,Quilfish,1,1,2,4,7
212,Scizor,35,29,24,88,187
213,Shuckle,10,11,4,25,56
214,Heracross,14,16,12,42,86
215,Sneasel,8,4,2,14,34
216,Teddiursa,5,2,3,10,22
217,Ursaring,1,0,1,2,4
218,Slugma,0,0,0,0,0
219,Magcargo,1,2,4,7,11
220,Swinub,4,3,2,9,20
221,Piloswine,2,3,0,5,12
222,Corsola,1,5,0,6,13
223,Remoraid,0,0,0,0,0
224,Octillery,1,5,1,7,14
225,Delibird,2,3,1,6,13
226,Mantine,4,1,2,7,16
227,Skarmory,8,7,5,20,43
228,Houndour,1,1,2,4,7
229,Houndoom,15,9,14,38,77
230,Kingdra,5,6,8,19,35
231,Phanpy,3,4,4,11,21
232,Donphan,2,9,2,13,26
233,Porygon2,6,4,3,13,29
234,Stantler,1,0,1,2,4
235,Smeargle,4,3,5,12,23
236,Tyrogue,0,0,0,0,0
237,Hitmontop,1,0,2,3,5
238,Smoochum,1,1,1,3,6
239,Elekid,1,0,0,1,3
240,Magby,0,1,1,2,3
241,Miltank,1,4,2,7,13
242,Blissey,1,2,3,6,10
243,Raikou,3,0,6,9,15
244,Entei,1,3,6,10,15
245,Suicune,8,11,10,29,56
246,Larvitar,1,3,0,4,9
247,Pupitar,0,0,0,0,0
248,Tyranitar,28,35,28,91,182
249,Lugia,23,25,25,73,144
250,Ho-Oh,1,5,8,14,21
251,Celebi,2,6,4,12,22
252,Treecko,7,3,1,11,28
253,Grovyle,10,6,4,20,46
254,Sceptile,19,28,11,58,124
255,Torchic,6,3,5,14,29
256,Combusken,0,0,1,1,1
257,Blaziken,29,33,14,76,167
258,Mudkip,30,16,15,61,137
259,Marshtomp,2,2,2,6,12
260,Swampert,28,29,23,80,165
261,Poochyena,0,0,2,2,2
262,Mightyena,3,4,3,10,20
263,Zigzagoon,2,4,3,9,17
264,Linoone,1,0,2,3,5
265,Wurmple,0,1,3,4,5
266,Silcoon,0,0,1,1,1
267,Beautifly,0,0,0,0,0
268,Cascoon,2,1,3,6,11
269,Dustox,0,1,1,2,3
270,Lotad,2,3,1,6,13
271,Lombre,0,0,0,0,0
272,Ludicolo,9,4,8,21,43
273,Seedot,2,0,0,2,6
274,Nuzleaf,0,0,0,0,0
275,Shiftry,1,2,3,6,10
276,Taillow,1,1,0,2,5
277,Swellow,3,3,3,9,18
278,Wingull,1,0,1,2,4
279,Pelipper,1,0,2,3,5
280,Ralts,0,1,1,2,3
281,Kirlia,0,4,1,5,9
282,Gardevoir,34,46,39,119,233
283,Surskit,2,0,1,3,7
284,Masquerain,0,2,1,3,5
285,Shroomish,1,3,2,6,11
286,Breloom,18,15,19,52,103
287,Slakoth,0,0,1,1,1
288,Vigoroth,0,0,0,0,0
289,Slaking,0,1,2,3,4
290,Nincada,0,0,0,0,0
291,Ninjask,3,1,0,4,11
292,Shedinja,9,1,5,15,34
293,Whismur,2,0,0,2,6
294,Loudred,0,0,0,0,0
295,Exploud,4,0,4,8,16
296,Makuhita,2,0,1,3,7
297,Hariyama,0,0,1,1,1
298,Azurill,0,0,0,0,0
299,Nosepass,0,1,2,3,4
300,Skitty,3,2,4,9,17
301,Delcatty,2,1,1,4,9
302,Sableye,16,6,8,30,68
303,Mawile,21,13,8,42,97
304,Aron,1,4,3,8,14
305,Lairon,0,0,1,1,1
306,Aggron,16,16,17,49,97
307,Meditite,0,0,0,0,0
308,Medicham,1,1,0,2,5
309,Electrike,0,0,0,0,0
310,Manectric,4,2,0,6,16
311,Plusle,3,1,2,6,13
312,Minun,4,2,4,10,20
313,Volbeat,0,1,0,1,2
314,Illumise,0,0,1,1,1
315,Roselia,0,1,1,2,3
316,Gulpin,2,0,1,3,7
